bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2022-01-01 00:00:00,-0.18851245060360944,0.0,0.0,0.7957034112054981,0.0,10000.0,0.0,
541,2022-01-01 04:00:00,-0.18882175950697397,-0.5000888111752129,-0.18582369141074287,0.7943999695356079,-0.00013558715690975554,9998.644128430902,5.495408712836722,entry_fill
542,2022-01-01 08:00:00,-0.18931106018526034,-0.5000888111752129,-0.18452386168774487,0.7923467326906816,0.001097343637422199,10009.616076948085,5.495408712836722,
543,2022-01-01 12:00:00,-0.18931891881201987,-0.5000888111752129,-0.18641649208637415,0.792313842384338,-0.0015952495698208224,9993.648241207262,5.495408712836722,
544,2022-01-01 16:00:00,-0.18917009485931865,-0.5000888111752129,-0.18774249642371002,0.7929371717635997,-0.0011164072526903546,9982.491259829942,5.495408712836722,
545,2022-01-01 20:00:00,-0.18929667386509894,-0.5000888111752129,-0.18881032381454105,0.7924069500919838,-0.0008982319293835417,9973.52466744557,5.495408712836722,
546,2022-01-02 00:00:00,-0.18929901844625932,-0.5000888111752129,-0.18839380365487685,0.7923971356596545,0.00035049001297648985,9977.020288235684,5.495408712836722,
547,2022-01-02 04:00:00,-0.189314405033815,-0.5000888111752129,-0.18771929115420197,0.7923327333343031,0.0005679056538852034,9982.6862944663,5.495408712836722,
548,2022-01-02 08:00:00,-0.1898872671868322,-0.5000888111752129,-0.1875283283756487,0.7899423811940657,0.0001608069247613919,9984.291579550172,5.495408712836722,
549,2022-01-02 12:00:00,-0.19009696865208534,-0.5000888111752129,-0.1895636611839052,0.7890709729018844,-0.0017109910756947233,9967.208545760428,5.495408712836722,
550,2022-01-02 16:00:00,-0.19168058761134352,-0.5000888111752129,-0.1907914427935547,0.7825518581158768,-0.0010310635141694835,9956.931720690776,5.495408712836722,
551,2022-01-02 20:00:00,-0.19750600380199365,-0.5000888111752129,-0.19256138806642034,0.7594705837417479,-0.0014841544347962143,9942.15409632055,5.495408712836722,
552,2022-01-03 00:00:00,-0.197374754779918,-0.5000888111752129,-0.18997144579902703,0.7599756117101042,0.0021764742982166574,9963.7929391801,5.495408712836722,
553,2022-01-03 04:00:00,-0.20014541677254544,-0.5000888111752129,-0.1913993995562297,0.7494550833030914,-0.0011985516844600363,9951.850818369236,5.495408712836722,
554,2022-01-03 08:00:00,-0.2038439659046147,-0.5000888111752129,-0.192941818426782,0.7358569547758403,-0.0012929539787500666,9938.983533257699,5.495408712836722,
555,2022-01-03 12:00:00,-0.20384703674852922,-0.5000888111752129,-0.189914112188433,0.7358458694940154,0.0025444746031129117,9964.27302443883,5.495408712836722,
556,2022-01-03 16:00:00,-0.207883448253841,-0.5000888111752129,-0.1871947370829829,0.7215581676172648,0.002290588915624392,9987.097077780865,5.495408712836722,
557,2022-01-03 20:00:00,-0.2085568565177211,-0.5000888111752129,-0.1888311872924225,0.7192283318062692,-0.0013765202552993294,9973.34963636166,5.495408712836722,
558,2022-01-04 00:00:00,-0.20840591963349744,-0.5000888111752129,-0.18754141420725226,0.719749229118779,0.0010860868258908418,9984.181560011715,5.495408712836722,
559,2022-01-04 04:00:00,-0.2086671907299899,-0.5000888111752129,-0.1887107853021226,0.7188480348791211,-0.000983730533388849,9974.359815760234,5.495408712836722,
560,2022-01-04 08:00:00,-0.20880073477648917,-0.5000888111752129,-0.19303666377692374,0.718388276557396,-0.00362593925747956,9938.193392936042,5.495408712836722,
561,2022-01-04 12:00:00,-0.20785924124327637,0.0,0.0,0.7216421993210371,-0.003486167392816819,9903.547187186081,11.242286470491841,envelope_close_sl
562,2022-01-04 16:00:00,-0.20999714046328577,-0.5282817875553665,-0.20308308587868185,0.7142954407335123,0.0013578755523915298,9916.994971793518,17.24322175771154,entry_fill
563,2022-01-04 20:00:00,-0.21051039686334627,-0.5282817875553665,-0.20134239660265457,0.7125538796897197,0.001448953504804118,9931.364236415024,17.24322175771154,
564,2022-01-05 00:00:00,-0.2109284293900276,-0.5282817875553665,-0.20289982024250758,0.7111416912067131,-0.001294724310075157,9918.505857705926,17.24322175771154,
565,2022-01-05 04:00:00,-0.21090473752254751,-0.5282817875553665,-0.20330295014310987,0.7112215769167524,-0.00033501945669978106,9915.182965262204,17.24322175771154,
566,2022-01-05 08:00:00,-0.21224366230506564,-0.5282817875553665,-0.20176302778138006,0.7067348837224617,0.001281386035458798,9927.88814225291,17.24322175771154,
567,2022-01-05 12:00:00,-0.21225883881209048,-0.5282817875553665,-0.20363834979806622,0.7066843521781098,-0.001558044421732463,9912.420051513289,17.24322175771154,
568,2022-01-05 16:00:00,-0.21315778851967487,-0.5282817875553665,-0.19310399086543667,0.7037040543613761,0.008829371968648081,9999.940495257586,17.24322175771154,
569,2022-01-05 20:00:00,-0.20902050738127098,0.0,0.0,0.717632934104343,0.002511274838024047,10025.053094205065,22.851314903173062,envelope_close_tp
570,2022-01-06 00:00:00,-0.21002532280337183,-0.584665059328941,-0.20020084103230673,0.7141995926864103,0.004676742992337335,10071.937691011199,28.958430938348762,entry_fill
571,2022-01-06 04:00:00,-0.20846124986887998,-0.584665059328941,-0.20049980131442988,0.7195581917231547,-0.00024902984723174093,10069.429477906679,28.958430938348762,
572,2022-01-06 08:00:00,-0.20848278949299417,-0.584665059328941,-0.1933194697280053,0.7194838497929853,0.006017107546281153,10130.018318004937,28.958430938348762,
573,2022-01-06 12:00:00,-0.20690676217963658,-0.584665059328941,-0.19660135073384707,0.7249642226278226,-0.002742668645517643,10102.235034385625,28.958430938348762,
574,2022-01-06 16:00:00,-0.2063548605901601,-0.584665059328941,-0.20009355827290343,0.7269031588158901,-0.002909946074606151,10072.838075202566,28.958430938348762,
575,2022-01-06 20:00:00,-0.20631839598485738,-0.584665059328941,-0.19728041617105765,0.7270316312996595,0.002349610052791329,10096.505316804201,28.958430938348762,
576,2022-01-07 00:00:00,-0.20605392908772607,-0.584665059328941,-0.1857401509995339,0.7279647646812816,0.009732541452522891,10194.769973325616,28.958430938348762,
577,2022-01-07 04:00:00,-0.20054114576421933,0.0,0.0,0.7479761792941899,0.0024349225454216583,10219.593448579055,34.4571785621764,envelope_close_tp
