bar,datetime,requested_exposure,position_units,realized_exposure,sigma_ann,net_return,economic_equity,commission_paid_cum,close_reasons
540,2022-01-01 00:00:00,-1.0,0.0,0.0,0.7957034112054981,0.0,10000.0,0.0,
541,2022-01-01 04:00:00,-1.0,-2.6766587181387558,-0.9932623329148311,0.7943999695356079,0.0012074929796836997,10012.074929796838,10.081391115064502,entry_fill
542,2022-01-01 08:00:00,-1.0,-2.6766587181387558,-0.9816390160497079,0.7923467326906816,0.0058655066694708324,10070.800822072802,10.081391115064502,
543,2022-01-01 12:00:00,-1.0,-2.6766587181387558,-0.998600108422256,0.792313842384338,-0.008486486266598647,9985.335109202631,10.081391115064502,
544,2022-01-01 16:00:00,-1.0,-2.6766587181387558,-1.0106244383390781,0.7929371717635997,-0.005980395785279091,9925.618853200956,10.081391115064502,
545,2022-01-01 20:00:00,-1.0,-2.6766587181387558,-1.0203934730597413,0.7924069500919838,-0.00483521395754094,9877.626362384728,10.081391115064502,
546,2022-01-02 00:00:00,-1.0,-2.6766587181387558,-1.016573751619594,0.7923971356596545,0.0018941640180922814,9896.336206824517,10.081391115064502,
547,2022-01-02 04:00:00,-1.0,-2.6766587181387558,-1.0104129992410418,0.7923327333343031,0.0030644212810393423,9926.66275010103,10.081391115064502,
548,2022-01-02 08:00:00,-1.0,-2.6766587181387558,-1.0086743807012537,0.7899423811940657,0.0008655551922660543,9935.254824586254,10.081391115064502,
549,2022-01-02 12:00:00,-1.0,-2.6766587181387558,-1.0273320217036384,0.7890709729018844,-0.009203051499529824,9843.820162774635,10.081391115064502,
550,2022-01-02 16:00:00,-1.0,0.0,0.0,0.7825518581158768,-0.021508515717940324,9632.094202079019,20.51416886292123,envelope_close_sl
551,2022-01-02 20:00:00,-1.0,-2.527443444756581,-1.013437246536627,0.7594705837417479,-0.008788291544760574,9547.44455004455,30.225375504701773,entry_fill
552,2022-01-03 00:00:00,-1.0,-2.527443444756581,-0.9906352493910003,0.7599756117101042,0.011454633465675101,9656.807027899169,30.225375504701773,
553,2022-01-03 04:00:00,-1.0,-2.527443444756581,-1.003155031718035,0.7494550833030914,-0.006250031639486786,9596.451678438381,30.225375504701773,
554,2022-01-03 08:00:00,-1.0,-2.527443444756581,-1.016822188057633,0.7358569547758403,-0.0067765797205754374,9531.420558604794,30.225375504701773,
555,2022-01-03 12:00:00,-1.0,-2.527443444756581,-0.9901352128865823,0.7358458694940154,0.013409629153962266,9659.233373606136,30.225375504701773,
